productCode,hsnCode,model,family,series,description,category,hpRating,fad,workingPressure,capacityCfm,maxPressure,motorKw,starterType,dimensionsMm,weightKg,gstPct,piePrice,elgiPrice,warrantyMonths,leadTimeDays,uom,notes
EQ-37-7.5-V,8414,EQ 37-7.5 V,Screw > EQ,EQ,Elgi make EQ 37 VFD -7.5 STD,Screw,50,242 cfm,7.0 bar.g,242 cfm,7.5 bar.g,"37 kW, 50 hp",Variable Frequency Drive,1705 x 1111 x 1410 (mm),1145 kg,18,,,12,42,Nos,"FAD 1.78~6.85 m3/min (63~242 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz."
EQ-37-8.5-V,8414,EQ 37-8.5 V,Screw > EQ,EQ,Elgi make EQ 37 VFD -8.5 STD,Screw,50,232 cfm,8.0 bar.g,232 cfm,8.5 bar.g,"37 kW, 50 hp",Variable Frequency Drive,1705 x 1111 x 1410 (mm),1145 kg,18,,,12,42,Nos,"FAD 2.27~6.57 m3/min (80~232 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz."
EQ-37-10-V,8414,EQ 37-10 V,Screw > EQ,EQ,Elgi make EQ 37 VFD -10 STD,Screw,50,200 cfm,9.5 bar.g,200 cfm,10 bar.g,"37 kW, 50 hp",Variable Frequency Drive,1705 x 1111 x 1410 (mm),1145 kg,18,,,12,42,Nos,"FAD 1.95~5.66 m3/min (69~200 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz."
EQ-37-13-V,8414,EQ 37-13 V,Screw > EQ,EQ,Elgi make EQ 37 VFD -13 STD,Screw,50,164 cfm,12.5 bar.g,164 cfm,13 bar.g,"37 kW, 50 hp",Variable Frequency Drive,1705 x 1111 x 1410 (mm),1145 kg,18,,,12,42,Nos,"FAD 1.47~4.64 m3/min (52~164 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz."
EQ-37-16-V,8414,EQ 37-16 V,Screw > EQ,EQ,Elgi make EQ 37 VFD -16 STD,Screw,50,134 cfm,15.5 bar.g,134 cfm,16 bar.g,"37 kW, 50 hp",Variable Frequency Drive,1705 x 1111 x 1410 (mm),1145 kg,18,,,12,42,Nos,"FAD 1.91~3.79 m3/min (68~134 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz. 16 bar is region-specific - confirm availability with ELGi before quoting."
EQ-45-7.5-V,8414,EQ 45-7.5 V,Screw > EQ,EQ,Elgi make EQ 45 VFD -7.5 STD,Screw,60,296 cfm,7.0 bar.g,296 cfm,7.5 bar.g,"45 kW, 60 hp",Variable Frequency Drive,1705 x 1111 x 1410 (mm),1160 kg,18,,,12,42,Nos,"FAD 1.67~8.38 m3/min (59~296 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz."
EQ-45-8.5-V,8414,EQ 45-8.5 V,Screw > EQ,EQ,Elgi make EQ 45 VFD -8.5 STD,Screw,60,284 cfm,8.0 bar.g,284 cfm,8.5 bar.g,"45 kW, 60 hp",Variable Frequency Drive,1705 x 1111 x 1410 (mm),1160 kg,18,,,12,42,Nos,"FAD 2.27~8.03 m3/min (80~284 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz."
EQ-45-10-V,8414,EQ 45-10 V,Screw > EQ,EQ,Elgi make EQ 45 VFD -10 STD,Screw,60,257 cfm,9.5 bar.g,257 cfm,10 bar.g,"45 kW, 60 hp",Variable Frequency Drive,1705 x 1111 x 1410 (mm),1160 kg,18,,,12,42,Nos,"FAD 2.24~7.28 m3/min (79~257 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz."
EQ-45-13-V,8414,EQ 45-13 V,Screw > EQ,EQ,Elgi make EQ 45 VFD -13 STD,Screw,60,215 cfm,12.5 bar.g,215 cfm,13 bar.g,"45 kW, 60 hp",Variable Frequency Drive,1705 x 1111 x 1410 (mm),1160 kg,18,,,12,42,Nos,"FAD 2.18~6.09 m3/min (77~215 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz."
EQ-45-16-V,8414,EQ 45-16 V,Screw > EQ,EQ,Elgi make EQ 45 VFD -16 STD,Screw,60,174 cfm,15.5 bar.g,174 cfm,16 bar.g,"45 kW, 60 hp",Variable Frequency Drive,1705 x 1111 x 1410 (mm),1160 kg,18,,,12,42,Nos,"FAD 3.4~4.93 m3/min (120~174 cfm) per ISO 1217 Annex E. 70 dB(A), air-cooled, 50 Hz. 16 bar is region-specific - confirm availability with ELGi before quoting."
